idInteracao;idCliente;tipoInteracao;idAnimal;nomeEvento;valorPago;data
I001;1;VISITA;A02;Visita à Savana Algoritmica;18.50;2025-05-01
I002;2;VISITA;A22;Visita à Girafa API;18.50;2025-05-01
I003;3;VISITA;A25;Visita ao Elefante Array;19.00;2025-05-01
I004;4;VISITA;A12;Safari da Chita Thread;21.00;2025-05-02
I005;5;VISITA;A32;Tour do Chacal Bitwise;17.00;2025-05-02
I006;6;VISITA;A07;Visita ao Pinguinario Linux;16.00;2025-05-02
I007;7;VISITA;A29;Visita ao Pinguim KernelKid;16.00;2025-05-03
I008;8;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-05-03
I009;9;VISITA;A05;Visita às Araras Ruby;14.00;2025-05-03
I010;10;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-05-04
I011;11;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-05-04
I012;12;VISITA;A09;Explorar o Bosque Nublado;16.50;2025-05-04
I013;13;VISITA;A23;Caminho da Raposa Proxy;16.50;2025-05-05
I014;14;VISITA;A18;Baia Contentor das Focas Docker;17.50;2025-05-05
I015;15;VISITA;A24;Lago de Dados dos Flamingos;14.50;2025-05-05
I016;16;VISITA;A30;Hipopotamo Overflow Splash;18.50;2025-05-06
I017;17;VISITA;A26;Expedicao ao Urso-polar Boolean;21.00;2025-05-06
I018;18;VISITA;A11;Caverna Debug dos Morcegos;15.50;2025-05-06
I019;19;VISITA;A01;Mergulho com a Lontra Byte;15.00;2025-05-07
I020;20;VISITA;A16;Passeio do Panda Git;17.00;2025-05-07
I021;21;ESPETACULO;A07;Marcha dos Pinguins Bit;15.00;2025-05-08
I022;22;ESPETACULO;A29;Marcha dos Pinguins KernelKid;15.00;2025-05-08
I023;23;ESPETACULO;A03;Espetaculo dos Gorilas Zé;22.00;2025-05-09
I024;24;ESPETACULO;A05;Araras Ruby em Concerto;19.50;2025-05-09
I025;25;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-05-10
I026;26;ESPETACULO;A24;Parada dos Flamingos PixelArt;18.00;2025-05-10
I027;27;ESPETACULO;A12;Corrida da Chita Thread;24.00;2025-05-11
I028;28;ESPETACULO;A28;Cacada do Lince Compile;23.00;2025-05-11
I029;29;ESPETACULO;A31;Noite de Guaxinins Refactor;20.00;2025-05-12
I030;30;ESPETACULO;A18;Show das Focas Docker;18.50;2025-05-12
I031;31;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-05-13
I032;32;ALIMENTACAO;A22;Alimentar Girafa API;19.00;2025-05-13
I033;33;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-05-13
I034;34;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-05-14
I035;35;ALIMENTACAO;A19;Alimentar Golfinho Cloud;23.00;2025-05-14
I036;36;ALIMENTACAO;A20;Alimentar Tartaruga Kernelita;21.00;2025-05-14
I037;37;ALIMENTACAO;A26;Alimentar Urso-polar Boolean;24.00;2025-05-15
I038;38;ALIMENTACAO;A27;Alimentar Coala Snippet;18.50;2025-05-15
I039;39;ALIMENTACAO;A16;Alimentar Panda Git;19.50;2025-05-15
I040;40;ALIMENTACAO;A01;Alimentar Lontra Byte;17.50;2025-05-16
I041;41;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;20.00;2025-05-16
I042;42;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;25.00;2025-05-17
I043;43;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;32.00;2025-05-17
I044;44;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;45.00;2025-05-18
I045;45;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;55.00;2025-05-18
I046;46;APADRINHAMENTO;A29;Apadrinhamento Pinguim KernelKid;18.00;2025-05-16
I047;47;APADRINHAMENTO;A29;Apadrinhamento Pinguim KernelKid;27.00;2025-05-17
I048;48;APADRINHAMENTO;A29;Apadrinhamento Pinguim KernelKid;38.00;2025-05-17
I049;49;APADRINHAMENTO;A29;Apadrinhamento Pinguim KernelKid;60.00;2025-05-18
I050;50;APADRINHAMENTO;A29;Apadrinhamento Pinguim KernelKid;52.00;2025-05-18
I051;1;APADRINHAMENTO;A22;Apadrinhamento Girafa API;22.50;2025-05-19
I052;2;APADRINHAMENTO;A22;Apadrinhamento Girafa API;25.00;2025-05-19
I053;3;APADRINHAMENTO;A22;Apadrinhamento Girafa API;28.00;2025-05-19
I054;4;APADRINHAMENTO;A22;Apadrinhamento Girafa API;35.00;2025-05-20
I055;5;APADRINHAMENTO;A22;Apadrinhamento Girafa API;49.99;2025-05-20
I056;6;APADRINHAMENTO;A22;Apadrinhamento Girafa API;50.00;2025-05-20
I057;7;APADRINHAMENTO;A22;Apadrinhamento Girafa API;55.00;2025-05-21
I058;8;APADRINHAMENTO;A22;Apadrinhamento Girafa API;65.00;2025-05-21
I059;9;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;20.00;2025-05-19
I060;10;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;24.50;2025-05-19
I061;11;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;30.00;2025-05-20
I062;12;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;40.00;2025-05-20
I063;13;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;48.00;2025-05-21
I064;14;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;50.00;2025-05-21
I065;15;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;58.00;2025-05-22
I066;16;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;70.00;2025-05-22
I067;17;APADRINHAMENTO;A20;Apadrinhamento Tartaruga Kernelita;23.00;2025-05-19
I068;18;APADRINHAMENTO;A20;Apadrinhamento Tartaruga Kernelita;27.50;2025-05-20
I069;19;APADRINHAMENTO;A20;Apadrinhamento Tartaruga Kernelita;36.00;2025-05-21
I070;20;APADRINHAMENTO;A20;Apadrinhamento Tartaruga Kernelita;51.00;2025-05-22
I071;21;VISITA;A04;Visita ao Terrário Python;17.50;2025-05-23
I072;22;VISITA;A06;Trilho do Lobo CSharp;18.50;2025-05-23
I073;23;VISITA;A08;Tour da Suricata Pixel;15.50;2025-05-24
I074;24;VISITA;A10;Caravana do Camelo Cache;16.50;2025-05-24
I075;25;VISITA;A13;Recife das Lontras Socket;17.00;2025-05-25
I076;26;VISITA;A14;Planície do Canguru Lambda;16.50;2025-05-25
I077;27;ALIMENTACAO;A04;Alimentar Píton Python;19.00;2025-05-26
I078;28;ALIMENTACAO;A06;Alimentar Lobo CSharp;21.00;2025-05-26
I079;29;ALIMENTACAO;A08;Snack com Suricata Pixel;18.00;2025-05-27
I080;30;ALIMENTACAO;A10;Alimentar Camelo Cache;20.00;2025-05-27
I081;31;ALIMENTACAO;A13;Alimentar Lontra Socket;19.50;2025-05-28
I082;32;ALIMENTACAO;A14;Alimentar Canguru Lambda;20.50;2025-05-28
I083;33;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;22.00;2025-05-29
I084;34;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;30.00;2025-05-29
I085;35;APADRINHAMENTO;A22;Apadrinhamento Girafa API;25.00;2025-05-30
I086;36;APADRINHAMENTO;A22;Apadrinhamento Girafa API;45.00;2025-05-30
I087;37;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;26.00;2025-05-30
I088;38;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;55.00;2025-05-31
I089;39;APADRINHAMENTO;A20;Apadrinhamento Tartaruga Kernelita;24.00;2025-05-31
I090;40;APADRINHAMENTO;A20;Apadrinhamento Tartaruga Kernelita;52.00;2025-05-31
I091;41;APADRINHAMENTO;A26;Apadrinhamento Urso-polar Boolean;23.50;2025-05-31
I092;42;APADRINHAMENTO;A26;Apadrinhamento Urso-polar Boolean;35.00;2025-05-31
I093;43;APADRINHAMENTO;A27;Apadrinhamento Coala Snippet;49.00;2025-05-31
I094;44;APADRINHAMENTO;A27;Apadrinhamento Coala Snippet;60.00;2025-05-31
I095;45;ESPETACULO;A04;Show da Píton Python;19.50;2025-05-29
I096;46;ESPETACULO;A06;Noite do Lobo CSharp;22.50;2025-05-29
I097;47;ESPETACULO;A08;Suricata Pixel em Cena;18.50;2025-05-30
I098;48;ESPETACULO;A10;Caravana Noturna do Camelo Cache;21.00;2025-05-30
I099;49;VISITA;A17;Macacos Branch em Ação;17.50;2025-05-31
I100;50;VISITA;A21;Ilha dos Scripts Tour;16.50;2025-05-31
I101;5;VISITA;A02;Visita à Savana Algoritmica;18.50;2025-06-01
I102;6;VISITA;A25;Visita ao Elefante Array;19.00;2025-06-01
I103;7;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-06-01
I104;8;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-06-02
I105;9;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-06-02
I106;10;VISITA;A07;Visita ao Pinguinario Linux;16.00;2025-06-03
I107;11;VISITA;A29;Visita ao Pinguim KernelKid;16.00;2025-06-03
I108;12;VISITA;A24;Lago de Dados dos Flamingos;14.50;2025-06-03
I109;13;ESPETACULO;A07;Marcha dos Pinguins Bit;15.00;2025-06-04
I110;14;ESPETACULO;A29;Marcha dos Pinguins KernelKid;15.00;2025-06-04
I111;15;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-06-05
I112;16;ESPETACULO;A24;Parada dos Flamingos PixelArt;18.00;2025-06-05
I113;17;ESPETACULO;A12;Corrida da Chita Thread;24.00;2025-06-06
I114;18;ESPETACULO;A04;Show da Píton Python;19.50;2025-06-06
I115;19;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-06-07
I116;20;ALIMENTACAO;A22;Alimentar Girafa API;19.00;2025-06-07
I117;21;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-06-08
I118;22;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-06-08
I119;23;ALIMENTACAO;A19;Alimentar Golfinho Cloud;23.00;2025-06-09
I120;24;ALIMENTACAO;A20;Alimentar Tartaruga Kernelita;21.00;2025-06-09
I121;25;APADRINHAMENTO;A04;Apadrinhamento Píton Python;20.00;2025-06-10
I122;26;APADRINHAMENTO;A06;Apadrinhamento Lobo CSharp;27.00;2025-06-10
I123;27;APADRINHAMENTO;A08;Apadrinhamento Suricata Pixel;24.00;2025-06-11
I124;28;APADRINHAMENTO;A09;Apadrinhamento Urso-pardo Cookie;35.00;2025-06-11
I125;29;APADRINHAMENTO;A10;Apadrinhamento Camelo Cache;55.00;2025-06-11
I126;30;APADRINHAMENTO;A11;Apadrinhamento Morcego Bug;25.00;2025-06-12
I127;31;APADRINHAMENTO;A12;Apadrinhamento Chita Thread;40.00;2025-06-12
I128;32;APADRINHAMENTO;A13;Apadrinhamento Lontra-marinha Socket;60.00;2025-06-13
I129;33;APADRINHAMENTO;A14;Apadrinhamento Canguru Lambda;22.50;2025-06-13
I130;34;APADRINHAMENTO;A15;Apadrinhamento Raposa Java;48.00;2025-06-14
I131;35;APADRINHAMENTO;A17;Apadrinhamento Macaco Branch;26.00;2025-06-14
I132;36;APADRINHAMENTO;A23;Apadrinhamento Raposa Proxy;20.00;2025-06-15
I133;37;APADRINHAMENTO;A28;Apadrinhamento Lince Compile;52.00;2025-06-15
I134;38;APADRINHAMENTO;A32;Apadrinhamento Chacal Bitwise;30.00;2025-06-16
I135;39;VISITA;A02;Visita à Savana Algoritmica;18.50;2025-06-17
I136;40;VISITA;A25;Visita ao Elefante Array;19.00;2025-06-17
I137;41;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-06-18
I138;42;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-06-18
I139;43;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-06-19
I140;44;VISITA;A07;Visita ao Pinguinario Linux;16.00;2025-06-19
I141;45;VISITA;A29;Visita ao Pinguim KernelKid;16.00;2025-06-20
I142;46;VISITA;A24;Lago de Dados dos Flamingos;14.50;2025-06-20
I143;47;ESPETACULO;A07;Marcha dos Pinguins Bit;15.00;2025-06-21
I144;48;ESPETACULO;A29;Marcha dos Pinguins KernelKid;15.00;2025-06-21
I145;49;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-06-22
I146;50;ESPETACULO;A24;Parada dos Flamingos PixelArt;18.00;2025-06-22
I147;1;ESPETACULO;A12;Corrida da Chita Thread;24.00;2025-06-23
I148;2;ESPETACULO;A04;Show da Píton Python;19.50;2025-06-23
I149;3;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-06-24
I150;4;ALIMENTACAO;A22;Alimentar Girafa API;19.00;2025-06-24
I151;5;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-06-25
I152;6;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-06-25
I153;7;ALIMENTACAO;A19;Alimentar Golfinho Cloud;23.00;2025-06-26
I154;8;ALIMENTACAO;A20;Alimentar Tartaruga Kernelita;21.00;2025-06-26
I155;9;ALIMENTACAO;A26;Alimentar Urso-polar Boolean;24.00;2025-06-27
I156;10;ALIMENTACAO;A27;Alimentar Coala Snippet;18.50;2025-06-27
I157;11;APADRINHAMENTO;A01;Apadrinhamento Lontra Byte;20.00;2025-06-28
I158;12;APADRINHAMENTO;A01;Apadrinhamento Lontra Byte;32.00;2025-06-28
I159;13;APADRINHAMENTO;A02;Apadrinhamento Leão Kernel;25.00;2025-06-29
I160;14;APADRINHAMENTO;A02;Apadrinhamento Leão Kernel;47.00;2025-06-29
I161;15;APADRINHAMENTO;A05;Apadrinhamento Arara Ruby;22.00;2025-06-29
I162;16;APADRINHAMENTO;A05;Apadrinhamento Arara Ruby;38.00;2025-06-30
I163;17;APADRINHAMENTO;A16;Apadrinhamento Panda Git;24.50;2025-06-30
I164;18;APADRINHAMENTO;A16;Apadrinhamento Panda Git;50.00;2025-06-30
I165;19;APADRINHAMENTO;A18;Apadrinhamento Foca Docker;21.00;2025-07-01
I166;20;APADRINHAMENTO;A18;Apadrinhamento Foca Docker;35.00;2025-07-01
I167;21;APADRINHAMENTO;A21;Apadrinhamento Lémure Script;19.50;2025-07-02
I168;22;APADRINHAMENTO;A21;Apadrinhamento Lémure Script;42.00;2025-07-02
I169;23;APADRINHAMENTO;A30;Apadrinhamento Hipopótamo Overflow;27.00;2025-07-03
I170;24;APADRINHAMENTO;A30;Apadrinhamento Hipopótamo Overflow;56.00;2025-07-03
I171;25;APADRINHAMENTO;A31;Apadrinhamento Guaxinim Refactor;23.00;2025-07-03
I172;26;APADRINHAMENTO;A31;Apadrinhamento Guaxinim Refactor;49.50;2025-07-04
I173;27;APADRINHAMENTO;A09;Apadrinhamento Urso-pardo Cookie;25.00;2025-07-04
I174;28;APADRINHAMENTO;A09;Apadrinhamento Urso-pardo Cookie;53.00;2025-07-04
I175;29;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-05
I176;30;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-07-05
I177;31;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-07-06
I178;32;VISITA;A07;Visita ao Pinguinario Linux;16.00;2025-07-06
I179;33;ESPETACULO;A07;Marcha dos Pinguins Bit;15.00;2025-07-07
I180;34;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-07-07
I181;35;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-07-08
I182;36;ALIMENTACAO;A22;Alimentar Girafa API;19.00;2025-07-08
I183;37;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-09
I184;38;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-07-09
I185;39;APADRINHAMENTO;A06;Apadrinhamento Lobo CSharp;24.00;2025-07-10
I186;40;APADRINHAMENTO;A06;Apadrinhamento Lobo CSharp;39.00;2025-07-10
I187;41;APADRINHAMENTO;A08;Apadrinhamento Suricata Pixel;26.00;2025-07-11
I188;42;APADRINHAMENTO;A10;Apadrinhamento Camelo Cache;44.00;2025-07-11
I189;43;APADRINHAMENTO;A11;Apadrinhamento Morcego Bug;18.50;2025-07-12
I190;44;APADRINHAMENTO;A14;Apadrinhamento Canguru Lambda;51.00;2025-07-12
I191;45;APADRINHAMENTO;A15;Apadrinhamento Raposa Java;24.50;2025-07-13
I192;46;APADRINHAMENTO;A17;Apadrinhamento Macaco Branch;33.00;2025-07-13
I193;47;APADRINHAMENTO;A23;Apadrinhamento Raposa Proxy;27.00;2025-07-14
I194;48;APADRINHAMENTO;A24;Apadrinhamento Flamingo PixelArt;19.50;2025-07-14
I195;49;APADRINHAMENTO;A28;Apadrinhamento Lince Compile;60.00;2025-07-15
I196;50;APADRINHAMENTO;A32;Apadrinhamento Chacal Bitwise;29.00;2025-07-15
I197;1;APADRINHAMENTO;A18;Apadrinhamento Foca Docker;23.50;2025-07-16
I198;2;APADRINHAMENTO;A21;Apadrinhamento Lémure Script;47.00;2025-07-16
I199;3;APADRINHAMENTO;A30;Apadrinhamento Hipopótamo Overflow;54.00;2025-07-17
I200;4;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-18
I201;5;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-18
I202;6;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-19
I203;7;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-19
I204;8;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-20
I205;9;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-20
I206;10;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-21
I207;11;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-21
I208;12;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-22
I209;13;ALIMENTACAO;A03;Alimentar Gorila Zé;21.50;2025-07-22
I210;14;ESPETACULO;A03;Espetaculo dos Gorilas Zé;22.00;2025-07-23
I211;15;ESPETACULO;A03;Espetaculo dos Gorilas Zé;22.00;2025-07-23
I212;16;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;20.00;2025-07-24
I213;17;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;27.00;2025-07-24
I214;18;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;45.00;2025-07-25
I215;19;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;55.00;2025-07-25
I216;20;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;60.00;2025-07-26
I217;21;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;35.00;2025-07-26
I218;22;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;25.00;2025-07-27
I219;23;APADRINHAMENTO;A03;Apadrinhamento Gorila Zé;52.00;2025-07-27
I220;24;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-28
I221;25;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-28
I222;26;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-29
I223;27;VISITA;A03;Trilho da Floresta do Zé;17.50;2025-07-29
I224;28;VISITA;A19;Passeio no Oceano Cloud;18.00;2025-07-30
I225;29;VISITA;A20;Tartarugas Kernelita Tour;18.00;2025-07-30
I226;30;ESPETACULO;A19;Show dos Golfinhos Cloud;24.50;2025-07-31
I227;31;ESPETACULO;A24;Parada dos Flamingos PixelArt;18.00;2025-07-31
I228;32;ALIMENTACAO;A07;Alimentar Pinguim Bit;20.00;2025-08-01
I229;33;ALIMENTACAO;A25;Alimentar Elefante Array;22.00;2025-08-01
I230;34;APADRINHAMENTO;A19;Apadrinhamento Golfinho Cloud;26.00;2025-08-02
I231;35;APADRINHAMENTO;A19;Apadrinhamento Golfinho Cloud;48.00;2025-08-02
I232;36;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;30.00;2025-08-03
I233;37;APADRINHAMENTO;A25;Apadrinhamento Elefante Array;54.00;2025-08-03
I234;38;APADRINHAMENTO;A07;Apadrinhamento Pinguim Bit;23.00;2025-08-04
I235;39;APADRINHAMENTO;A22;Apadrinhamento Girafa API;40.00;2025-08-04